pygame 2.6.1 (SDL 2.28.4, Python 3.9.23)
Hello from the pygame community. https://www.pygame.org/contribute.html
Episode 19400, Total Reward: -98.112429, Epsilon: 0.312, LC: 94
Episode 19500, Total Reward: -82.46116500000001, Epsilon: 0.310, LC: 64
Episode 19600, Total Reward: -70.277927, Epsilon: 0.308, LC: 70
Episode 19700, Total Reward: -112.73204600000001, Epsilon: 0.307, LC: 64
Episode 19800, Total Reward: -104.74729900000001, Epsilon: 0.305, LC: 73
Episode 19900, Total Reward: -80.533167, Epsilon: 0.303, LC: 71
Episode 20000, Total Reward: -110.596428, Epsilon: 0.301, LC: 88
Episode 20100, Total Reward: -83.048845, Epsilon: 0.299, LC: 81
Episode 20200, Total Reward: -110.84480400000001, Epsilon: 0.298, LC: 68
Episode 20300, Total Reward: -87.80743100000001, Epsilon: 0.296, LC: 68
Episode 20400, Total Reward: -110.13612, Epsilon: 0.294, LC: 76
Episode 20500, Total Reward: -122.803217, Epsilon: 0.292, LC: 73
Episode 20600, Total Reward: -103.368324, Epsilon: 0.291, LC: 78
Episode 20700, Total Reward: -82.247848, Epsilon: 0.289, LC: 80
Episode 20800, Total Reward: -104.46509900000001, Epsilon: 0.287, LC: 83
Episode 20900, Total Reward: -81.42273600000001, Epsilon: 0.285, LC: 88
Episode 21000, Total Reward: -95.132831, Epsilon: 0.284, LC: 64
Episode 21100, Total Reward: -109.283973, Epsilon: 0.282, LC: 88
Episode 21200, Total Reward: -114.117546, Epsilon: 0.280, LC: 85
Episode 21300, Total Reward: -97.43381400000001, Epsilon: 0.279, LC: 69
Episode 21400, Total Reward: -84.91280700000002, Epsilon: 0.277, LC: 84
Episode 21500, Total Reward: -94.211808, Epsilon: 0.275, LC: 88
Episode 21600, Total Reward: -96.878566, Epsilon: 0.274, LC: 76
Episode 21700, Total Reward: -93.591689, Epsilon: 0.272, LC: 99
Episode 21800, Total Reward: -91.81949000000002, Epsilon: 0.270, LC: 85
Episode 21900, Total Reward: -107.320502, Epsilon: 0.269, LC: 93
Episode 22000, Total Reward: -88.66775200000001, Epsilon: 0.267, LC: 67
Episode 22100, Total Reward: -95.121887, Epsilon: 0.266, LC: 86
Episode 22200, Total Reward: -89.65780800000002, Epsilon: 0.264, LC: 92
Episode 22300, Total Reward: -77.91256900000002, Epsilon: 0.262, LC: 99
Episode 22400, Total Reward: -103.189238, Epsilon: 0.261, LC: 106
Episode 22500, Total Reward: -90.643145, Epsilon: 0.259, LC: 85
Episode 22600, Total Reward: -106.84328200000002, Epsilon: 0.258, LC: 94
Episode 22700, Total Reward: -103.87422800000002, Epsilon: 0.256, LC: 78
Episode 22800, Total Reward: -113.970071, Epsilon: 0.255, LC: 95
Episode 22900, Total Reward: -74.705112, Epsilon: 0.253, LC: 86
Episode 23000, Total Reward: -94.965674, Epsilon: 0.252, LC: 76
Episode 23100, Total Reward: -85.43659400000001, Epsilon: 0.250, LC: 78
Episode 23200, Total Reward: -91.20296900000001, Epsilon: 0.249, LC: 83
Episode 23300, Total Reward: -94.769833, Epsilon: 0.247, LC: 76
Episode 23400, Total Reward: -96.13605800000002, Epsilon: 0.246, LC: 104
Episode 23500, Total Reward: -104.47923400000002, Epsilon: 0.244, LC: 88
Episode 23600, Total Reward: -102.53267500000001, Epsilon: 0.243, LC: 79
Episode 23700, Total Reward: -91.71858200000001, Epsilon: 0.241, LC: 93
Episode 23800, Total Reward: -101.12528000000002, Epsilon: 0.240, LC: 81
Episode 23900, Total Reward: -104.321786, Epsilon: 0.238, LC: 88
Episode 24000, Total Reward: -85.748456, Epsilon: 0.237, LC: 108
Episode 24100, Total Reward: -98.54487400000001, Epsilon: 0.235, LC: 99
Episode 24200, Total Reward: -92.78888600000002, Epsilon: 0.234, LC: 75
Episode 24300, Total Reward: -103.70028200000002, Epsilon: 0.233, LC: 106
Episode 24400, Total Reward: -107.368047, Epsilon: 0.231, LC: 86
Episode 24500, Total Reward: -114.774673, Epsilon: 0.230, LC: 101
Episode 24600, Total Reward: -96.842943, Epsilon: 0.229, LC: 82
Episode 24700, Total Reward: -98.605583, Epsilon: 0.227, LC: 104
Episode 24800, Total Reward: -101.51891800000001, Epsilon: 0.226, LC: 112
Episode 24900, Total Reward: -106.15150299999999, Epsilon: 0.224, LC: 115
Episode 25000, Total Reward: -78.957373, Epsilon: 0.223, LC: 125
Episode 25100, Total Reward: -84.779467, Epsilon: 0.222, LC: 93
Episode 25200, Total Reward: -97.521965, Epsilon: 0.220, LC: 90
Episode 25300, Total Reward: -96.658874, Epsilon: 0.219, LC: 100
Episode 25400, Total Reward: -100.264545, Epsilon: 0.218, LC: 86
Episode 25500, Total Reward: -92.89714000000001, Epsilon: 0.217, LC: 109
Episode 25600, Total Reward: -94.21818300000001, Epsilon: 0.215, LC: 102
Episode 25700, Total Reward: -93.204012, Epsilon: 0.214, LC: 97
Episode 25800, Total Reward: -95.33561800000001, Epsilon: 0.213, LC: 131
Episode 25900, Total Reward: -99.109274, Epsilon: 0.211, LC: 115
Episode 26000, Total Reward: -76.898398, Epsilon: 0.210, LC: 107
Episode 26100, Total Reward: -104.770172, Epsilon: 0.209, LC: 96
Episode 26200, Total Reward: -107.57941500000001, Epsilon: 0.208, LC: 98
Episode 26300, Total Reward: -109.275799, Epsilon: 0.206, LC: 105
Episode 26400, Total Reward: -88.97822200000002, Epsilon: 0.205, LC: 113
Episode 26500, Total Reward: -95.458421, Epsilon: 0.204, LC: 110
Episode 26600, Total Reward: -111.08140800000001, Epsilon: 0.203, LC: 116
Episode 26700, Total Reward: -93.62093700000001, Epsilon: 0.201, LC: 111
Episode 26800, Total Reward: -99.962249, Epsilon: 0.200, LC: 116
Episode 26900, Total Reward: -91.531329, Epsilon: 0.199, LC: 124
Episode 27000, Total Reward: -94.35290800000001, Epsilon: 0.198, LC: 133
Episode 27100, Total Reward: -95.77346700000001, Epsilon: 0.197, LC: 89
Episode 27200, Total Reward: -88.254989, Epsilon: 0.196, LC: 115
Episode 27300, Total Reward: -100.42157900000001, Epsilon: 0.194, LC: 106
Episode 27400, Total Reward: -84.89589500000001, Epsilon: 0.193, LC: 84
Episode 27500, Total Reward: -108.949802, Epsilon: 0.192, LC: 132
Episode 27600, Total Reward: -89.884703, Epsilon: 0.191, LC: 109
Episode 27700, Total Reward: -94.01457500000001, Epsilon: 0.190, LC: 118
Episode 27800, Total Reward: -106.399886, Epsilon: 0.189, LC: 141
Episode 27900, Total Reward: -118.247832, Epsilon: 0.187, LC: 106
Episode 28000, Total Reward: -78.760554, Epsilon: 0.186, LC: 124
Episode 28100, Total Reward: -95.85205900000001, Epsilon: 0.185, LC: 82
Episode 28200, Total Reward: -94.82596600000001, Epsilon: 0.184, LC: 127
Episode 28300, Total Reward: -98.796441, Epsilon: 0.183, LC: 125
Episode 28400, Total Reward: -80.383893, Epsilon: 0.182, LC: 95
Episode 28500, Total Reward: -95.531052, Epsilon: 0.181, LC: 129
Episode 28600, Total Reward: -83.743401, Epsilon: 0.180, LC: 119
Episode 28700, Total Reward: -87.16361100000002, Epsilon: 0.179, LC: 129
Episode 28800, Total Reward: -91.225842, Epsilon: 0.178, LC: 120
Episode 28900, Total Reward: -90.948218, Epsilon: 0.177, LC: 135
Episode 29000, Total Reward: -68.160606, Epsilon: 0.176, LC: 119
Episode 29100, Total Reward: -94.44105900000001, Epsilon: 0.174, LC: 142
Episode 29200, Total Reward: -95.030545, Epsilon: 0.173, LC: 97
Episode 29300, Total Reward: -95.10538900000002, Epsilon: 0.172, LC: 137
Episode 29400, Total Reward: -110.57951600000001, Epsilon: 0.171, LC: 129
Episode 29500, Total Reward: -86.67184200000001, Epsilon: 0.170, LC: 151
Episode 29600, Total Reward: -93.842842, Epsilon: 0.169, LC: 141
Episode 29700, Total Reward: -101.71296000000001, Epsilon: 0.168, LC: 149
Episode 29800, Total Reward: -89.577831, Epsilon: 0.167, LC: 139
Episode 29900, Total Reward: -100.93580700000001, Epsilon: 0.166, LC: 154
Episode 30000, Total Reward: -75.07824000000001, Epsilon: 0.165, LC: 115
Episode 30100, Total Reward: -113.01203300000002, Epsilon: 0.164, LC: 121
Episode 30200, Total Reward: -106.45976700000001, Epsilon: 0.163, LC: 124
Episode 30300, Total Reward: -108.261628, Epsilon: 0.162, LC: 129
Episode 30400, Total Reward: -85.46584200000001, Epsilon: 0.161, LC: 114
Episode 30500, Total Reward: -105.84560900000001, Epsilon: 0.160, LC: 149
Episode 30600, Total Reward: -98.79782600000001, Epsilon: 0.159, LC: 130
Episode 30700, Total Reward: -90.70760200000001, Epsilon: 0.158, LC: 153
Episode 30800, Total Reward: -105.329996, Epsilon: 0.158, LC: 136
Episode 30900, Total Reward: -103.61212400000001, Epsilon: 0.157, LC: 157
Episode 31000, Total Reward: -94.236894, Epsilon: 0.156, LC: 175
Episode 31100, Total Reward: -83.12965700000001, Epsilon: 0.155, LC: 136
Episode 31200, Total Reward: -109.02284700000001, Epsilon: 0.154, LC: 120
Episode 31300, Total Reward: -99.242614, Epsilon: 0.153, LC: 139
Episode 31400, Total Reward: -89.81027300000001, Epsilon: 0.152, LC: 133
Episode 31500, Total Reward: -81.511301, Epsilon: 0.151, LC: 131
Episode 31600, Total Reward: -71.569872, Epsilon: 0.150, LC: 124
Episode 31700, Total Reward: -87.89974400000001, Epsilon: 0.149, LC: 155
Episode 31800, Total Reward: -96.337039, Epsilon: 0.148, LC: 151
